code,date,open,close,diff,rate
DJI@DJI,20230518,33374.56,33535.91,115.14,0.34
DJI@DJI,20230517,33092.48,33420.77,408.63,1.24
DJI@DJI,20230516,33275.37,33012.14,-336.46,-1.01
DJI@DJI,20230515,33321.21,33348.6,47.98,0.14
DJI@DJI,20230512,33370.58,33300.62,-8.89,-0.03
DJI@DJI,20230511,33383.89,33309.51,-221.82,-0.66
DJI@DJI,20230510,33707.2,33531.33,-30.48,-0.09
DJI@DJI,20230509,33589.85,33561.81,-56.88,-0.17
DJI@DJI,20230508,33715.15,33618.69,-55.69,-0.17
DJI@DJI,20230505,33248.55,33674.38,546.64,1.65
DJI@DJI,20230504,33347.78,33127.74,-286.5,-0.86
DJI@DJI,20230503,33726.64,33414.24,-270.29,-0.8
DJI@DJI,20230502,34017.62,33684.53,-367.17,-1.08
DJI@DJI,20230501,34116.81,34051.7,-46.46,-0.14
DJI@DJI,20230428,33797.43,34098.16,272.0,0.8
DJI@DJI,20230427,33381.66,33826.16,524.29,1.57
DJI@DJI,20230426,33596.34,33301.87,-228.96,-0.68
DJI@DJI,20230425,33828.34,33530.83,-344.57,-1.02
DJI@DJI,20230421,33793.6,33808.96,22.34,0.07
DJI@DJI,20230420,33740.6,33786.62,-110.39,-0.33
DJI@DJI,20230419,33889.83,33897.01,-79.62,-0.23
DJI@DJI,20230418,33965.16,33976.63,-10.55,-0.03
DJI@DJI,20230417,33930.46,33987.18,100.71,0.3
DJI@DJI,20230414,33981.71,33886.47,-143.22,-0.42
DJI@DJI,20230413,33668.97,34029.69,383.19,1.14
DJI@DJI,20230412,33764.21,33646.5,-38.29,-0.11
DJI@DJI,20230411,33586.75,33684.79,98.27,0.29
DJI@DJI,20230406,33420.96,33485.29,2.57,0.01
DJI@DJI,20230405,33394.6,33482.72,80.34,0.24
DJI@DJI,20230404,33594.79,33402.38,-198.77,-0.59
DJI@DJI,20230403,33245.78,33601.15,327.0,0.98
DJI@DJI,20230331,32901.96,33274.15,415.12,1.26
DJI@DJI,20230330,32807.43,32859.03,141.43,0.43
DJI@DJI,20230329,32566.54,32717.6,323.35,1.0
DJI@DJI,20230328,32434.85,32394.25,-37.83,-0.12
DJI@DJI,20230327,32276.72,32432.08,194.55,0.6
DJI@DJI,20230323,32101.49,32105.25,75.14,0.23
DJI@DJI,20230322,32570.19,32030.11,-530.49,-1.63
DJI@DJI,20230321,32420.71,32560.6,316.02,0.98
DJI@DJI,20230320,31872.33,32244.58,382.6,1.2
DJI@DJI,20230317,32217.32,31861.98,-384.57,-1.19
DJI@DJI,20230316,31827.65,32246.55,371.98,1.17
DJI@DJI,20230315,31759.87,31874.57,-280.83,-0.87
DJI@DJI,20230314,32055.29,32155.4,336.26,1.06
DJI@DJI,20230313,31819.93,31819.14,-90.5,-0.28
DJI@DJI,20230309,32876.83,32254.86,-543.54,-1.66
DJI@DJI,20230308,32872.08,32798.4,-58.06,-0.18
DJI@DJI,20230307,33428.31,32856.46,-574.98,-1.72
DJI@DJI,20230306,33425.32,33431.44,40.47,0.12
DJI@DJI,20230303,33076.33,33390.97,387.4,1.17
DJI@DJI,20230302,32780.97,33003.57,341.73,1.05
DJI@DJI,20230301,32656.37,32661.84,5.14,0.02
DJI@DJI,20230228,32873.47,32656.7,-232.39,-0.71
DJI@DJI,20230227,32906.16,32889.09,72.17,0.22
DJI@DJI,20230223,33175.39,33153.91,108.82,0.33
DJI@DJI,20230222,33169.33,33045.09,-84.5,-0.26
DJI@DJI,20230221,33699.69,33129.59,-697.1,-2.06
DJI@DJI,20230217,33677.01,33826.69,129.84,0.39
DJI@DJI,20230216,33992.09,33696.85,-431.2,-1.26
DJI@DJI,20230215,34008.63,34128.05,38.78,0.11
DJI@DJI,20230214,34194.09,34089.27,-156.66,-0.46
DJI@DJI,20230213,33887.39,34245.93,376.66,1.11
DJI@DJI,20230210,33671.54,33869.27,169.39,0.5
DJI@DJI,20230208,34132.9,33949.01,-207.68,-0.61
DJI@DJI,20230207,33769.78,34156.69,265.67,0.78
DJI@DJI,20230206,33874.44,33891.02,-34.99,-0.1
DJI@DJI,20230203,33926.3,33926.01,-127.93,-0.38
DJI@DJI,20230202,34129.3,34053.94,-39.02,-0.11
DJI@DJI,20230201,34039.6,34092.96,6.92,0.02
DJI@DJI,20230131,33803.56,34086.04,368.95,1.09
DJI@DJI,20230130,33909.21,33717.09,-260.99,-0.77
DJI@DJI,20230127,33952.93,33978.08,28.67,0.08
DJI@DJI,20230125,33538.36,33743.84,9.88,0.03
DJI@DJI,20230124,33444.72,33733.96,104.4,0.31
DJI@DJI,20230123,33439.56,33629.56,254.07,0.76
DJI@DJI,20230120,33073.46,33375.49,330.93,1.0
DJI@DJI,20230119,33171.35,33044.56,-252.4,-0.76
DJI@DJI,20230118,33948.49,33296.96,-613.89,-1.81
DJI@DJI,20230117,34222.32,33910.85,-391.76,-1.14
DJI@DJI,20230113,34075.31,34302.61,112.64,0.33
DJI@DJI,20230112,34047.86,34189.97,216.96,0.64
DJI@DJI,20230110,33516.43,33704.1,186.45,0.56
DJI@DJI,20230109,33664.39,33517.65,-112.96,-0.34
DJI@DJI,20230106,33055.3,33630.61,700.53,2.13
DJI@DJI,20230105,33191.72,32930.08,-339.69,-1.02
DJI@DJI,20230104,33165.14,33269.77,133.4,0.4
DJI@DJI,20230103,33148.9,33136.37,-10.88,-0.03
DJI@DJI,20221230,33121.61,33147.25,-73.55,-0.22
DJI@DJI,20221229,33021.43,33220.8,345.09,1.05
DJI@DJI,20221228,33264.76,32875.71,-365.85,-1.1
DJI@DJI,20221222,33233.35,33027.49,-348.99,-1.05
DJI@DJI,20221221,33028.09,33376.48,526.74,1.6
DJI@DJI,20221220,32735.24,32849.74,92.2,0.28
DJI@DJI,20221219,32921.45,32757.54,-162.92,-0.49
DJI@DJI,20221216,33166.46,32920.46,-281.76,-0.85
DJI@DJI,20221215,33773.0,33202.22,-764.13,-2.25
DJI@DJI,20221214,34086.07,33966.35,-142.29,-0.42
DJI@DJI,20221213,34268.44,34108.64,103.6,0.3
DJI@DJI,20221212,33519.5,34005.04,528.58,1.58
DJI@DJI,20221209,33746.71,33476.46,-305.02,-0.9
DJI@DJI,20221208,33695.97,33781.48,183.56,0.55
DJI@DJI,20221207,33556.4,33597.92,1.58,0.0
DJI@DJI,20221206,33936.87,33596.34,-350.76,-1.03
DJI@DJI,20221205,34335.73,33947.1,-482.78,-1.4
DJI@DJI,20221202,34265.45,34429.88,34.87,0.1
DJI@DJI,20221201,34533.59,34395.01,-194.76,-0.56
DJI@DJI,20221130,33795.43,34589.77,737.24,2.18
DJI@DJI,20221129,33847.8,33852.53,3.07,0.01
DJI@DJI,20221125,34213.04,34347.03,152.97,0.45
DJI@DJI,20221123,34091.57,34194.06,95.96,0.28
DJI@DJI,20221122,33810.05,34098.1,397.82,1.18
DJI@DJI,20221121,33760.3,33700.28,-45.41,-0.13
DJI@DJI,20221118,33606.59,33745.69,199.37,0.59
DJI@DJI,20221117,33329.27,33546.32,-7.51,-0.02
DJI@DJI,20221116,33554.93,33553.83,-39.09,-0.12
DJI@DJI,20221115,33755.94,33592.92,56.22,0.17
DJI@DJI,20221114,33662.05,33536.7,-211.16,-0.63
DJI@DJI,20221110,33263.91,33715.37,1201.43,3.7
DJI@DJI,20221109,33004.47,32513.94,-646.89,-1.95
DJI@DJI,20221108,32934.56,33160.83,333.83,1.02
DJI@DJI,20221107,32454.1,32827.0,423.78,1.31
DJI@DJI,20221104,32265.01,32403.22,401.97,1.26
DJI@DJI,20221103,31985.05,32001.25,-146.51,-0.46
DJI@DJI,20221102,32576.28,32147.76,-505.44,-1.55
DJI@DJI,20221101,32862.79,32653.2,-79.75,-0.24
DJI@DJI,20221031,32754.27,32732.95,-128.85,-0.39
DJI@DJI,20221027,32062.14,32033.28,194.17,0.61
DJI@DJI,20221026,31738.44,31839.11,2.37,0.01
DJI@DJI,20221025,31463.65,31836.74,337.12,1.07
DJI@DJI,20221024,31187.32,31499.62,417.06,1.34
DJI@DJI,20221021,30291.18,31082.56,748.97,2.47
DJI@DJI,20221020,30411.92,30333.59,-90.22,-0.3
DJI@DJI,20221019,30439.04,30423.81,-99.99,-0.33
DJI@DJI,20221018,30697.52,30523.8,337.98,1.12
DJI@DJI,20221017,30059.58,30185.82,550.99,1.86
DJI@DJI,20221013,28755.83,30038.72,827.87,2.83
DJI@DJI,20221012,29233.06,29210.85,-28.34,-0.1
DJI@DJI,20221011,29085.2,29239.19,36.31,0.12
DJI@DJI,20221010,29419.09,29202.88,-93.91,-0.32
DJI@DJI,20221007,29685.27,29296.79,-630.15,-2.11
DJI@DJI,20221006,30206.13,29926.94,-346.93,-1.15
DJI@DJI,20221005,30078.36,30273.87,-42.45,-0.14
DJI@DJI,20221004,29826.67,30316.32,825.43,2.8
DJI@DJI,20221003,28855.25,29490.89,765.38,2.66
