code,date,open,close,diff,rate
DJI@DJI,20230622,33900.47,33946.71,-4.81,-0.01
DJI@DJI,20230621,33990.56,33951.52,-102.35,-0.3
DJI@DJI,20230620,34206.66,34053.87,-245.25,-0.72
DJI@DJI,20230616,34464.02,34299.12,-108.94,-0.32
DJI@DJI,20230615,33945.98,34408.06,428.73,1.26
DJI@DJI,20230614,34044.7,33979.33,-232.79,-0.68
DJI@DJI,20230613,34111.08,34212.12,145.79,0.43
DJI@DJI,20230612,33906.8,34066.33,189.55,0.56
DJI@DJI,20230609,33852.44,33876.78,43.17,0.13
DJI@DJI,20230608,33656.98,33833.61,168.59,0.5
DJI@DJI,20230607,33562.47,33665.02,91.74,0.27
DJI@DJI,20230606,33547.67,33573.28,10.42,0.03
DJI@DJI,20230605,33771.13,33562.86,-199.9,-0.59
DJI@DJI,20230602,33187.58,33762.76,701.19,2.12
DJI@DJI,20230601,32929.85,33061.57,153.3,0.47
DJI@DJI,20230531,32948.71,32908.27,-134.51,-0.41
DJI@DJI,20230530,33103.65,33042.78,-50.56,-0.15
DJI@DJI,20230526,32795.5,33093.34,328.69,1.0
DJI@DJI,20230525,32854.26,32764.65,-35.27,-0.11
DJI@DJI,20230524,33021.76,32799.92,-255.59,-0.77
DJI@DJI,20230523,33190.6,33055.51,-231.07,-0.69
DJI@DJI,20230522,33408.54,33286.58,-140.05,-0.42
DJI@DJI,20230519,33582.95,33426.63,-109.28,-0.33
DJI@DJI,20230518,33374.56,33535.91,115.14,0.34
DJI@DJI,20230517,33092.48,33420.77,408.63,1.24
DJI@DJI,20230516,33275.37,33012.14,-336.46,-1.01
DJI@DJI,20230515,33321.21,33348.6,47.98,0.14
DJI@DJI,20230512,33370.58,33300.62,-8.89,-0.03
DJI@DJI,20230511,33383.89,33309.51,-221.82,-0.66
DJI@DJI,20230510,33707.2,33531.33,-30.48,-0.09
DJI@DJI,20230509,33589.85,33561.81,-56.88,-0.17
DJI@DJI,20230508,33715.15,33618.69,-55.69,-0.17
DJI@DJI,20230505,33248.55,33674.38,546.64,1.65
DJI@DJI,20230504,33347.78,33127.74,-286.5,-0.86
DJI@DJI,20230503,33726.64,33414.24,-270.29,-0.8
DJI@DJI,20230502,34017.62,33684.53,-367.17,-1.08
DJI@DJI,20230501,34116.81,34051.7,-46.46,-0.14
DJI@DJI,20230428,33797.43,34098.16,272.0,0.8
DJI@DJI,20230427,33381.66,33826.16,524.29,1.57
DJI@DJI,20230426,33596.34,33301.87,-228.96,-0.68
DJI@DJI,20230425,33828.34,33530.83,-344.57,-1.02
DJI@DJI,20230424,33805.04,33875.4,66.44,0.2
DJI@DJI,20230421,33793.6,33808.96,22.34,0.07
