code,date,open,close,diff,rate
KOSPI,20230623,2599.04,2570.1,-23.6,-0.91
KOSPI,20230622,2575.65,2593.7,11.07,0.43
KOSPI,20230621,2599.19,2582.63,-22.28,-0.86
KOSPI,20230620,2602.83,2604.91,-4.59,-0.18
KOSPI,20230619,2618.06,2609.5,-16.29,-0.62
KOSPI,20230616,2623.57,2625.79,17.25,0.66
KOSPI,20230615,2629.24,2608.54,-10.54,-0.4
KOSPI,20230614,2640.81,2619.08,-18.87,-0.72
KOSPI,20230613,2644.43,2637.95,8.6,0.33
KOSPI,20230612,2647.49,2629.35,-11.81,-0.45
KOSPI,20230609,2624.15,2641.16,30.31,1.16
KOSPI,20230608,2609.21,2610.85,-4.75,-0.18
KOSPI,20230607,2623.46,2615.6,0.19,0.01
KOSPI,20230605,2617.43,2615.41,14.05,0.54
KOSPI,20230602,2586.27,2601.36,32.19,1.25
KOSPI,20230601,2572.56,2569.17,-7.95,-0.31
KOSPI,20230531,2586.03,2577.12,-8.4,-0.32
KOSPI,20230530,2582.41,2585.52,26.71,1.04
KOSPI,20230526,2561.94,2558.81,4.12,0.16
KOSPI,20230525,2570.64,2554.69,-12.76,-0.5
KOSPI,20230524,2557.11,2567.45,-0.1,0.0
KOSPI,20230523,2565.8,2567.55,10.47,0.41
KOSPI,20230522,2540.03,2557.08,19.29,0.76
KOSPI,20230519,2530.83,2537.79,22.39,0.89
KOSPI,20230518,2511.09,2515.4,20.74,0.83
KOSPI,20230517,2479.65,2494.66,14.42,0.58
KOSPI,20230516,2494.4,2480.24,0.89,0.04
KOSPI,20230515,2469.8,2479.35,3.93,0.16
KOSPI,20230512,2487.35,2475.42,-15.58,-0.63
KOSPI,20230511,2505.57,2491.0,-5.51,-0.22
KOSPI,20230510,2505.96,2496.51,-13.55,-0.54
KOSPI,20230509,2512.34,2510.06,-3.15,-0.13
KOSPI,20230508,2518.53,2513.21,12.27,0.49
KOSPI,20230504,2494.82,2500.94,-0.46,-0.02
KOSPI,20230503,2510.19,2501.4,-22.99,-0.91
KOSPI,20230502,2504.01,2524.39,22.86,0.91
KOSPI,20230428,2511.79,2501.53,5.72,0.23
KOSPI,20230427,2484.31,2495.81,10.98,0.44
KOSPI,20230426,2489.49,2484.83,-4.19,-0.17
KOSPI,20230425,2531.35,2489.02,-34.48,-1.37
KOSPI,20230424,2538.36,2523.5,-20.9,-0.82
KOSPI,20230421,2556.7,2544.4,-18.71,-0.73
KOSPI,20230420,2566.06,2563.11,-11.97,-0.46
KOSPI,20230419,2570.06,2575.08,3.99,0.16
KOSPI,20230418,2582.23,2571.09,-4.82,-0.19
KOSPI,20230417,2570.3,2575.91,4.42,0.17
KOSPI,20230414,2580.1,2571.49,9.83,0.38
KOSPI,20230413,2534.71,2561.66,11.02,0.43
KOSPI,20230412,2546.36,2550.64,2.78,0.11
KOSPI,20230411,2523.33,2547.86,35.78,1.42
KOSPI,20230410,2491.68,2512.08,21.67,0.87
KOSPI,20230407,2478.64,2490.41,31.18,1.27
KOSPI,20230406,2488.0,2459.23,-35.98,-1.44
KOSPI,20230405,2482.61,2495.21,14.7,0.59
KOSPI,20230404,2475.87,2480.51,8.17,0.33
KOSPI,20230403,2485.81,2472.34,-4.52,-0.18
KOSPI,20230331,2459.94,2476.86,23.7,0.97
KOSPI,20230330,2452.97,2453.16,9.24,0.38
KOSPI,20230329,2432.63,2443.92,8.98,0.37
KOSPI,20230328,2418.69,2434.94,25.72,1.07
KOSPI,20230327,2423.94,2409.22,-5.74,-0.24
KOSPI,20230324,2421.27,2414.96,-9.52,-0.39
KOSPI,20230323,2398.27,2424.48,7.52,0.31
KOSPI,20230322,2411.25,2416.96,28.61,1.2
KOSPI,20230321,2396.54,2388.35,9.15,0.38
KOSPI,20230320,2391.87,2379.2,-16.49,-0.69
KOSPI,20230317,2403.7,2395.69,17.78,0.75
KOSPI,20230316,2357.98,2377.91,-1.81,-0.08
