code,date,open,close,diff,rate
NAS@IXIC,20230518,12513.87,12688.84,188.27,1.51
NAS@IXIC,20230517,12388.58,12500.57,157.52,1.28
NAS@IXIC,20230516,12327.05,12343.05,-22.16,-0.18
NAS@IXIC,20230515,12301.17,12365.21,80.47,0.66
NAS@IXIC,20230512,12350.52,12284.74,-43.77,-0.36
NAS@IXIC,20230511,12321.26,12328.51,22.07,0.18
NAS@IXIC,20230510,12286.66,12306.44,126.89,1.04
NAS@IXIC,20230509,12195.78,12179.55,-77.37,-0.63
NAS@IXIC,20230508,12231.68,12256.92,21.51,0.18
NAS@IXIC,20230505,12073.03,12235.41,269.01,2.25
NAS@IXIC,20230504,11997.34,11966.4,-58.93,-0.49
NAS@IXIC,20230503,12097.04,12025.33,-55.18,-0.46
NAS@IXIC,20230502,12198.02,12080.51,-132.09,-1.08
NAS@IXIC,20230501,12210.05,12212.6,-13.98,-0.11
NAS@IXIC,20230428,12117.54,12226.58,84.34,0.69
NAS@IXIC,20230427,11972.15,12142.24,287.89,2.43
NAS@IXIC,20230426,11913.23,11854.35,55.19,0.47
NAS@IXIC,20230425,11968.81,11799.16,-238.04,-1.98
NAS@IXIC,20230421,12046.03,12072.46,12.9,0.11
NAS@IXIC,20230420,12039.08,12059.56,-97.67,-0.8
NAS@IXIC,20230419,12063.68,12157.23,3.82,0.03
NAS@IXIC,20230418,12234.56,12153.41,-4.31,-0.04
NAS@IXIC,20230417,12108.23,12157.72,34.25,0.28
NAS@IXIC,20230414,12117.91,12123.47,-42.8,-0.35
NAS@IXIC,20230413,11997.42,12166.27,236.93,1.99
NAS@IXIC,20230412,12110.87,11929.34,-102.54,-0.85
NAS@IXIC,20230411,12080.24,12031.88,-52.48,-0.43
NAS@IXIC,20230406,11939.08,12087.96,91.1,0.76
NAS@IXIC,20230405,12081.76,11996.86,-129.47,-1.07
NAS@IXIC,20230404,12208.49,12126.33,-63.12,-0.52
NAS@IXIC,20230403,12146.09,12189.45,-32.46,-0.27
NAS@IXIC,20230331,12031.54,12221.91,208.44,1.74
NAS@IXIC,20230330,12010.45,12013.47,87.23,0.73
NAS@IXIC,20230329,11855.59,11926.24,210.16,1.79
NAS@IXIC,20230328,11752.76,11716.08,-52.76,-0.45
NAS@IXIC,20230327,11868.54,11768.84,-55.12,-0.47
NAS@IXIC,20230323,11811.32,11787.4,117.44,1.01
NAS@IXIC,20230322,11857.5,11669.96,-190.15,-1.6
NAS@IXIC,20230321,11764.79,11860.11,184.57,1.58
NAS@IXIC,20230320,11614.39,11675.54,45.03,0.39
NAS@IXIC,20230317,11696.35,11630.51,-86.77,-0.74
NAS@IXIC,20230316,11384.87,11717.28,283.23,2.48
NAS@IXIC,20230315,11291.17,11434.05,5.9,0.05
NAS@IXIC,20230314,11357.74,11428.15,239.31,2.14
NAS@IXIC,20230313,11041.46,11188.84,49.95,0.45
NAS@IXIC,20230309,11578.31,11338.36,-237.64,-2.05
NAS@IXIC,20230308,11553.09,11576.0,45.67,0.4
NAS@IXIC,20230307,11670.98,11530.33,-145.41,-1.25
NAS@IXIC,20230306,11736.87,11675.74,-13.27,-0.11
NAS@IXIC,20230303,11524.65,11689.01,226.03,1.97
NAS@IXIC,20230302,11273.77,11462.98,83.5,0.73
NAS@IXIC,20230301,11447.58,11379.48,-76.06,-0.66
NAS@IXIC,20230228,11451.05,11455.54,-11.44,-0.1
NAS@IXIC,20230227,11517.19,11466.98,72.04,0.63
NAS@IXIC,20230223,11636.93,11590.4,83.33,0.72
NAS@IXIC,20230222,11517.2,11507.07,14.77,0.13
NAS@IXIC,20230221,11640.37,11492.3,-294.97,-2.5
NAS@IXIC,20230217,11777.51,11787.27,-68.56,-0.58
NAS@IXIC,20230216,11896.31,11855.83,-214.76,-1.78
NAS@IXIC,20230215,11905.12,12070.59,110.44,0.92
NAS@IXIC,20230214,11808.2,11960.15,68.36,0.57
NAS@IXIC,20230213,11759.09,11891.79,173.67,1.48
NAS@IXIC,20230210,11714.6,11718.12,-71.46,-0.61
NAS@IXIC,20230208,12069.12,11910.52,-203.27,-1.68
NAS@IXIC,20230207,11891.25,12113.79,226.34,1.9
NAS@IXIC,20230206,11904.41,11887.45,-119.51,-1.0
