code,date,open,close,diff,rate
SPI@SPX,20230518,4157.68,4198.05,39.28,0.94
SPI@SPX,20230517,4122.85,4158.77,48.87,1.19
SPI@SPX,20230516,4127.95,4109.9,-26.38,-0.64
SPI@SPX,20230515,4126.65,4136.28,12.2,0.3
SPI@SPX,20230512,4138.54,4124.08,-6.54,-0.16
SPI@SPX,20230511,4132.24,4130.62,-7.02,-0.17
SPI@SPX,20230510,4143.74,4137.64,18.47,0.45
SPI@SPX,20230509,4124.25,4119.17,-18.95,-0.46
SPI@SPX,20230508,4136.98,4138.12,1.87,0.05
SPI@SPX,20230505,4084.73,4136.25,75.03,1.85
SPI@SPX,20230504,4082.55,4061.22,-29.53,-0.72
SPI@SPX,20230503,4122.25,4090.75,-28.83,-0.7
SPI@SPX,20230502,4164.1,4119.58,-48.29,-1.16
SPI@SPX,20230501,4166.79,4167.87,-1.61,-0.04
SPI@SPX,20230428,4129.3,4169.48,34.13,0.83
SPI@SPX,20230427,4075.29,4135.35,79.36,1.96
SPI@SPX,20230426,4087.78,4055.99,-15.64,-0.38
SPI@SPX,20230425,4126.43,4071.63,-65.41,-1.58
SPI@SPX,20230421,4132.14,4133.52,3.73,0.09
SPI@SPX,20230420,4130.48,4129.79,-24.73,-0.6
SPI@SPX,20230419,4139.33,4154.52,-0.35,-0.01
SPI@SPX,20230418,4164.26,4154.87,3.55,0.09
SPI@SPX,20230417,4137.17,4151.32,13.68,0.33
SPI@SPX,20230414,4140.11,4137.64,-8.58,-0.21
SPI@SPX,20230413,4100.04,4146.22,54.27,1.33
SPI@SPX,20230412,4121.72,4091.95,-16.99,-0.41
SPI@SPX,20230411,4110.29,4108.94,-0.17,0.0
SPI@SPX,20230406,4081.15,4105.02,14.64,0.36
SPI@SPX,20230405,4094.5,4090.38,-10.22,-0.25
SPI@SPX,20230404,4128.03,4100.6,-23.91,-0.58
SPI@SPX,20230403,4102.2,4124.51,15.2,0.37
SPI@SPX,20230331,4056.18,4109.31,58.48,1.44
SPI@SPX,20230330,4046.74,4050.83,23.02,0.57
SPI@SPX,20230329,3999.53,4027.81,56.54,1.42
SPI@SPX,20230328,3974.13,3971.27,-6.26,-0.16
SPI@SPX,20230327,3982.93,3977.53,6.54,0.16
SPI@SPX,20230323,3959.21,3948.72,11.75,0.3
SPI@SPX,20230322,4002.04,3936.97,-65.9,-1.65
SPI@SPX,20230321,3975.89,4002.87,51.3,1.3
SPI@SPX,20230320,3917.47,3951.57,34.93,0.89
SPI@SPX,20230317,3958.69,3916.64,-43.64,-1.1
SPI@SPX,20230316,3878.93,3960.28,68.35,1.76
SPI@SPX,20230315,3876.74,3891.93,-27.36,-0.7
SPI@SPX,20230314,3894.01,3919.29,63.53,1.65
SPI@SPX,20230313,3835.12,3855.76,-5.83,-0.15
SPI@SPX,20230309,3998.66,3918.32,-73.69,-1.85
SPI@SPX,20230308,3987.55,3992.01,5.64,0.14
SPI@SPX,20230307,4048.26,3986.37,-62.05,-1.53
SPI@SPX,20230306,4055.15,4048.42,2.78,0.07
SPI@SPX,20230303,3998.02,4045.64,64.29,1.61
SPI@SPX,20230302,3938.68,3981.35,29.96,0.76
SPI@SPX,20230301,3963.34,3951.39,-18.76,-0.47
SPI@SPX,20230228,3977.19,3970.15,-12.09,-0.3
SPI@SPX,20230227,3992.36,3982.24,12.2,0.31
SPI@SPX,20230223,4018.6,4012.32,21.27,0.53
SPI@SPX,20230222,4001.83,3991.05,-6.29,-0.16
SPI@SPX,20230221,4052.35,3997.34,-81.75,-2.0
SPI@SPX,20230217,4077.39,4079.09,-11.32,-0.28
SPI@SPX,20230216,4114.75,4090.41,-57.19,-1.38
SPI@SPX,20230215,4119.5,4147.6,11.47,0.28
SPI@SPX,20230214,4126.7,4136.13,-1.16,-0.03
SPI@SPX,20230213,4096.62,4137.29,46.83,1.14
SPI@SPX,20230210,4068.92,4090.46,8.96,0.22
SPI@SPX,20230208,4153.47,4117.86,-46.14,-1.11
SPI@SPX,20230207,4105.35,4164.0,52.92,1.29
SPI@SPX,20230206,4119.57,4111.08,-25.4,-0.61
SPI@SPX,20230203,4136.69,4136.48,-43.28,-1.04
SPI@SPX,20230202,4158.68,4179.76,60.55,1.47
SPI@SPX,20230201,4070.07,4119.21,42.61,1.05
SPI@SPX,20230131,4020.85,4076.6,58.83,1.46
SPI@SPX,20230130,4049.27,4017.77,-52.79,-1.3
SPI@SPX,20230127,4053.72,4070.56,10.13,0.25
SPI@SPX,20230125,3982.71,4016.22,-0.73,-0.02
SPI@SPX,20230124,4001.74,4016.95,-2.86,-0.07
SPI@SPX,20230123,3978.14,4019.81,47.2,1.19
SPI@SPX,20230120,3909.04,3972.61,73.76,1.89
SPI@SPX,20230119,3911.84,3898.85,-30.01,-0.76
SPI@SPX,20230118,4002.25,3928.86,-62.11,-1.56
SPI@SPX,20230117,3999.28,3990.97,-8.12,-0.2
SPI@SPX,20230113,3960.6,3999.09,15.92,0.4
SPI@SPX,20230112,3977.57,3983.17,13.56,0.34
SPI@SPX,20230110,3888.57,3919.25,27.16,0.7
SPI@SPX,20230109,3910.82,3892.09,-2.99,-0.08
SPI@SPX,20230106,3823.37,3895.08,86.98,2.28
SPI@SPX,20230105,3839.74,3808.1,-44.87,-1.16
SPI@SPX,20230104,3840.36,3852.97,28.83,0.75
SPI@SPX,20230103,3853.29,3824.14,-15.36,-0.4
SPI@SPX,20221230,3829.06,3839.5,-9.78,-0.25
SPI@SPX,20221229,3805.45,3849.28,66.06,1.75
SPI@SPX,20221228,3829.56,3783.22,-46.03,-1.2
SPI@SPX,20221223,3815.11,3844.82,22.43,0.59
SPI@SPX,20221222,3853.26,3822.39,-56.05,-1.45
SPI@SPX,20221221,3839.49,3878.44,56.82,1.49
SPI@SPX,20221220,3810.47,3821.62,3.96,0.1
SPI@SPX,20221219,3853.79,3817.66,-34.7,-0.9
SPI@SPX,20221216,3890.91,3852.36,-43.39,-1.11
SPI@SPX,20221215,3958.37,3895.75,-99.57,-2.49
SPI@SPX,20221214,4015.54,3995.32,-24.33,-0.61
SPI@SPX,20221213,4069.38,4019.65,29.09,0.73
SPI@SPX,20221209,3954.17,3934.38,-29.13,-0.73
SPI@SPX,20221208,3947.79,3963.51,29.59,0.75
SPI@SPX,20221207,3933.28,3933.92,-7.34,-0.19
SPI@SPX,20221206,3996.63,3941.26,-57.58,-1.44
SPI@SPX,20221205,4052.02,3998.84,-72.86,-1.79
SPI@SPX,20221202,4040.17,4071.7,-4.87,-0.12
SPI@SPX,20221201,4087.14,4076.57,-3.54,-0.09
SPI@SPX,20221130,3957.18,4080.11,122.48,3.09
SPI@SPX,20221129,3964.19,3957.63,-6.31,-0.16
SPI@SPX,20221125,4023.34,4026.12,-1.14,-0.03
SPI@SPX,20221123,4000.3,4027.26,23.68,0.59
SPI@SPX,20221122,3965.51,4003.58,53.64,1.36
SPI@SPX,20221121,3956.23,3949.94,-15.4,-0.39
SPI@SPX,20221118,3966.39,3965.34,18.78,0.48
SPI@SPX,20221117,3919.26,3946.56,-12.23,-0.31
SPI@SPX,20221116,3976.82,3958.79,-32.94,-0.83
SPI@SPX,20221115,4006.41,3991.73,34.48,0.87
SPI@SPX,20221114,3977.97,3957.25,-35.68,-0.89
SPI@SPX,20221110,3859.89,3956.37,207.8,5.54
SPI@SPX,20221109,3810.94,3748.57,-79.54,-2.08
SPI@SPX,20221108,3817.02,3828.11,21.31,0.56
SPI@SPX,20221107,3780.71,3806.8,36.25,0.96
SPI@SPX,20221104,3766.98,3770.55,50.66,1.36
SPI@SPX,20221103,3733.25,3719.89,-39.8,-1.06
SPI@SPX,20221102,3852.9,3759.69,-96.41,-2.5
SPI@SPX,20221101,3901.79,3856.1,-15.88,-0.41
SPI@SPX,20221031,3881.85,3871.98,-29.08,-0.75
SPI@SPX,20221027,3834.69,3807.3,-23.3,-0.61
SPI@SPX,20221026,3825.97,3830.6,-28.51,-0.74
SPI@SPX,20221025,3799.44,3859.11,61.77,1.63
SPI@SPX,20221024,3762.01,3797.34,44.59,1.19
SPI@SPX,20221021,3657.1,3752.75,86.97,2.37
SPI@SPX,20221020,3689.05,3665.78,-29.38,-0.8
SPI@SPX,20221019,3703.11,3695.16,-24.82,-0.67
SPI@SPX,20221018,3746.26,3719.98,42.03,1.14
SPI@SPX,20221017,3638.65,3677.95,94.88,2.65
